KNN,11,0.998,0:00:16.365902
KNN,11,0.997,0:00:16.123910
KNN,11,0.998,0:00:16.019156
KNN,11,0.994,0:00:15.944359
KNN,11,0.996,0:00:15.767859
KNN,11,0.997,0:00:15.924393
KNN,11,0.995,0:00:16.029134
KNN,11,0.998,0:00:16.014202
KNN,11,0.998,0:00:16.012177
KNN,11,0.997,0:00:15.884630
KNN,11,0.997,0:00:15.768825
KNN,11,0.999,0:00:15.888503
KNN,11,0.992,0:00:16.168785
KNN,11,0.998,0:00:15.911442
KNN,11,0.994,0:00:15.910422
KNN,11,0.998,0:00:16.015198
KNN,11,0.994,0:00:15.869563
KNN,11,0.994,0:00:16.016194
KNN,11,0.994,0:00:16.012204
KNN,11,0.997,0:00:16.062045
KNN,11,0.999,0:00:15.815697
KNN,11,0.996,0:00:15.827643
KNN,11,0.997,0:00:15.974278
KNN,11,0.997,0:00:15.924443
KNN,11,0.995,0:00:16.038136
KNN,11,0.995,0:00:15.999211
KNN,11,0.996,0:00:15.796732
KNN,11,0.997,0:00:15.945360
KNN,11,0.991,0:00:16.017165
KNN,11,1.0,0:00:15.846620
KNN,11,0.994,0:00:15.898482
KNN,11,0.996,0:00:15.930393
KNN,11,0.994,0:00:16.055035
KNN,11,0.996,0:00:16.093958
KNN,11,0.994,0:00:15.894493
KNN,11,0.999,0:00:15.968266
KNN,11,0.998,0:00:15.834650
KNN,11,0.993,0:00:15.797782
KNN,11,0.998,0:00:15.992257
KNN,11,0.995,0:00:16.159776
KNN,11,0.995,0:00:15.808749
KNN,11,0.999,0:00:16.074014
KNN,11,0.999,0:00:15.996307
KNN,11,0.996,0:00:15.805729
KNN,11,0.996,0:00:15.835649
KNN,11,0.994,0:00:15.944387
KNN,11,0.996,0:00:15.951340
KNN,11,0.998,0:00:16.121882
KNN,11,0.996,0:00:16.016167
KNN,11,0.999,0:00:16.037100
KNN,21,0.994,0:00:15.840672
KNN,21,0.996,0:00:15.927410
KNN,21,0.995,0:00:15.983255
KNN,21,0.995,0:00:15.992257
KNN,21,0.994,0:00:15.821661
KNN,21,0.995,0:00:16.168788
KNN,21,0.991,0:00:15.995225
KNN,21,0.994,0:00:15.967298
KNN,21,0.996,0:00:15.792795
KNN,21,0.997,0:00:15.979291
KNN,21,0.994,0:00:16.010183
KNN,21,0.996,0:00:16.020247
KNN,21,0.997,0:00:15.956355
KNN,21,0.996,0:00:16.067026
KNN,21,0.994,0:00:15.961340
KNN,21,0.998,0:00:16.055067
KNN,21,0.996,0:00:15.826704
KNN,21,0.993,0:00:15.984255
KNN,21,0.997,0:00:15.779803
KNN,21,0.997,0:00:15.901474
KNN,21,0.996,0:00:15.961336
KNN,21,0.998,0:00:15.988272
KNN,21,0.991,0:00:15.847622
KNN,21,0.995,0:00:15.932417
KNN,21,0.995,0:00:15.931396
KNN,21,0.997,0:00:15.979266
KNN,21,0.993,0:00:15.873548
KNN,21,0.997,0:00:15.989268
KNN,21,0.996,0:00:15.834657
KNN,21,0.998,0:00:15.669097
KNN,21,0.995,0:00:15.939401
KNN,21,0.995,0:00:15.860583
KNN,21,0.993,0:00:15.936380
KNN,21,0.995,0:00:15.830636
KNN,21,0.993,0:00:15.963336
KNN,21,0.997,0:00:15.876543
