DCM;-;0,911;00:00,0;;;;;;;;;;KNN;1;0,996;00:15,8;;KNN;1;0,995;00:15,6;;;;;;;;;;;;;;MLP;|[17; 17]|;0,997;17:58,5;;;[ 40 40 ];99,50%;0,40%;99,10%;99,90%;00:54:46;7060,5;;;;;MLP;|[70; 70]|;12;0,99808;3:02:06.505426;14000;;;;;;;;;;KNN;1;12;0,99764;0:08:25.461642;;;;;;
DCM;-;0,908;00:00,0;;;;;;;;;;KNN;1;0,997;00:16,0;;KNN;1;0,997;00:15,7;;;;;;;;;;;;;;MLP;|[1; 1]|;0,734;13:42,9;2405;;[ 50 50 ];99,70%;0,00%;99,70%;99,70%;01:25:29;10039;;;;;MLP;|[70; 70]|;13;0,99784;3:02:08.222243;14000;;;;;;;;;;KNN;1;13;0,9976;0:08:22.762939;;;;;;
DCM;-;0,903;00:00,0;;;;;;;;;;KNN;1;0,996;00:15,9;;KNN;1;0,998;00:15,5;;;K;Acertos;Desv. Pad;Mín;Máx;Tempo;;;;;;MLP;|[3; 3]|;0,997;57:16,7;9478;;[ 60 60 ];99,80%;0,20%;99,60%;100,00%;50:20,9;12000;;;;;MLP;|[70; 70]|;14;0,99788;3:02:09.916819;14000;;;;;;;;;;KNN;1;14;0,99744;0:08:26.126821;;;;;;
DCM;-;0,909;00:00,0;;;;;;;;;;KNN;1;0,996;00:15,7;;KNN;1;0,994;00:15,6;;;101;97,90%;0,46%;96,90%;98,90%;00:00:16;;;;;;MLP;|[5; 5]|;0,996;13:36,7;12001;;[ 70 70 ];99,90%;0,00%;99,90%;99,90%;58:50,1;12000;;;;;MLP;|[70; 70]|;15;0,99804;3:02:11.645975;14000;;;;;;;;;;KNN;1;15;0,99764;0:08:21.780622;;;;;;
DCM;-;0,888;00:00,0;;;;;;;;;;KNN;1;0,996;00:16,2;;KNN;1;0,998;00:15,5;;;111;97,75%;0,50%;96,50%;99,30%;00:00:16;;;;;;MLP;|[7; 7]|;0,999;53:43,1;8661;;[ 80 80 ];67,00%;32,50%;34,50%;99,50%;04:35,5;6000,5;;;;;MLP;|[70; 70]|;16;0,99812;3:02:13.341378;14000;;;;;;;;;;KNN;1;16;0,99724;0:08:21.238165;;;;;;
DCM;-;0,909;00:00,0;;;;;;;;;;KNN;1;0,996;00:16,5;;KNN;1;0,999;00:15,5;;;121;97,57%;0,46%;96,50%;98,60%;00:00:16;;;;;;MLP;|[9; 9]|;0,999;17:10,4;2727;;[ 90 90 ];30,35%;12,15%;18,20%;42,50%;31:15,8;2661;;;;;MLP;|[70; 70]|;17;0,99808;3:02:15.062418;14000;;;;;;;;;;KNN;1;17;0,99748;0:08:19.830931;;;;;;
DCM;-;0,902;00:00,0;;;;;;;;;;KNN;1;0,995;00:15,9;;KNN;1;0,995;00:15,6;;;131;97,48%;0,50%;96,20%;98,50%;00:00:16;;;;;;MLP;|[11; 11]|;0,997;16:58,8;12001;;[ 100 100 ];20,00%;0,20%;19,80%;20,20%;04:01,2;185,5;;;;;MLP;|[70; 70]|;18;0,99812;3:02:16.804886;14000;;;;;;;;;;KNN;1;18;0,9978;0:08:27.961014;;;;;;
DCM;-;0,892;00:00,0;;;;;;;;;;KNN;1;0,997;00:15,7;;KNN;1;0,998;00:15,4;;;141;97,36%;0,47%;96,10%;98,40%;00:00:16;;;;;;MLP;|[13; 13]|;0,998;02:51,6;9685;;[ 110 110 ];10,05%;8,95%;1,10%;19,00%;00:46,9;33,5;;;;;MLP;|[70; 70]|;19;0,99784;3:02:18.504671;14000;;;;;;;;;;KNN;1;19;0,99768;0:08:19.575442;;;;;;
DCM;-;0,907;00:00,0;;;;;;;;;;KNN;1;0,996;00:15,8;;KNN;1;0,994;00:15,7;;;;;;;;;;;;;;MLP;|[1; 1]|;0,779;08:22,7;12001;;[ 120 120 ];21,00%;0,40%;20,60%;21,40%;00:10,9;6,5;;;;;MLP;|[70; 70]|;20;0,99796;3:02:20.195593;14000;;;;;;;;;;KNN;1;20;0,9976;0:08:15.045481;;;;;;
DCM;-;0,895;00:00,0;;;;;;;;;;KNN;1;0,999;00:15,7;;KNN;1;0,997;00:15,6;;;;;;;;;;;;;;MLP;|[3; 3]|;0,998;12:42,2;12001;;;;;;;;;;;;;MLP;|[70; 70]|;21;0,99828;3:02:21.905440;14000;;;;;;;;;;KNN;1;21;0,99764;0:08:22.157522;;;;;;
